Protein Virus,Protein Người,Protein Chung
,FAM160B1,TBR1
,SLC6A8,THSD7A
,FZD5,PIGN
,PIGB,PANX1
,TMEM59,PCDHB5
,RPS4Y2,SLCO3A1
,MARVELD2,CYP4V2
,FAM171A1,PI4KB
,PCNX,TMEM9B
,SLC9A8,FAM160B1
,PRKD3,SLC6A8
,TMEM98,FZD5
,SLITRK5,PIGB
,GGT7,TMEM59
,APBB1,RPS4Y2
,RGPD1,MARVELD2
,LRCH4,FAM171A1
,THEM6,PCNX
,GPRC5B,SLC9A8
,TMEM132A,PRKD3
,TCP11L1,TMEM98
,TMEM63B,SLITRK5
,PCDHGB3,GGT7
,PCDHA1,APBB1
,VANGL2,RGPD1
,ANO8,LRCH4
,SENP2,THEM6
,SDC4,GPRC5B
,BNIP2,TMEM132A
,PRR14,TCP11L1
,LPCAT1,TMEM63B
,PCDHGB4,PCDHGB3
,PRSS23,PCDHA1
,COL4A2,VANGL2
,ATF6B,ANO8
,FUCA2,SENP2
,GNS,SDC4
,NOMO2,BNIP2
,ITGA2,PRR14
,ITGAV,LPCAT1
,POGLUT1,PCDHGB4
,APMAP,PRSS23
,RAC2,COL4A2
,P3H1,ATF6B
,SLIT3,FUCA2
,LRRC8E,GNS
,COL18A1,NOMO2
,AFG3L2,ITGA2
,EARS2,ITGAV
,ALDH2,POGLUT1
,PCK2,APMAP
,MCAM,RAC2
,KIAA1549,P3H1
,LPHN2,SLIT3
,AGPAT4,LRRC8E
,APH1A,COL18A1
,ARV1,AFG3L2
,ASTN1,EARS2
,BACE2,ALDH2
,BTN2A1,PCK2
,BTN2A2,MCAM
,BTN3A2,KIAA1549
,BTN3A3,LPHN2
,CERS4,AGPAT4
,CERS5,APH1A
,CERS6,ARV1
,CHMP7,ASTN1
,CNIH4,BACE2
,DENND4B,BTN2A1
,DHRS1,BTN2A2
,C3orf58,BTN3A2
,DNAJC14,BTN3A3
,ELOVL4,CERS4
,EPHA7,CERS5
,FAAH,CERS6
