BioGRID ID Interactor A,BioGRID ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System
4383947,123622,nsp9ab,FAHD1,Two-hybrid
4383946,118793,nsp8ab,BZW2,Two-hybrid
4383945,121747,nsp7ab,NCOA5,Two-hybrid
4383918,107171,ORF3b,SERPING1,Two-hybrid
4383918,106715,ORF3b,ALB,Two-hybrid
4383945,113363,nsp7ab,YWHAE,Two-hybrid
4383921,107171,ORF7b,SERPING1,Two-hybrid
4383950,110310,nsp13ab,MARK3,Two-hybrid
4383947,108338,nsp9ab,ENO1,Two-hybrid
4383950,108326,nsp13ab,MARK2,Two-hybrid
4383941,123627,nsp3ab,ABHD17A,Two-hybrid
4383949,111226,nsp12ab,PFDN5,Two-hybrid
4383919,115794,ORF6,DCTN2,Two-hybrid
4383945,121511,nsp7ab,MIF4GD,Two-hybrid
4383949,110785,nsp12ab,NDUFA10,Two-hybrid
4383947,126110,nsp9ab,C1orf162,Two-hybrid
4383940,107171,nsp2ab,SERPING1,Two-hybrid
4383920,122472,ORF7a,VKORC1,Two-hybrid
